               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10687,            0.015308,            0.017323,            0.046796,            0.080219,             0.03263,            0.007927,            0.085182,           0.0096322,            0.004372,            0.070536,           0.0032738,           0.0032738
                   1,            0.081885,            0.013896,           0.0049422,             0.68369,             0.20717,             0.16423,            0.040138,            0.070298,           0.0072794,           0.0032591,            0.040492,           0.0065635,           0.0065635
                   2,              0.0717,            0.013151,           0.0043271,             0.71254,             0.28425,             0.20367,            0.058443,            0.065357,            0.006455,           0.0030798,            0.010405,           0.0098093,           0.0098093
                   3,            0.064454,            0.012827,           0.0041231,             0.80097,             0.30124,             0.42849,             0.15844,            0.053141,           0.0067265,           0.0021881,            0.009802,            0.009802,            0.009802
                   4,              0.0579,            0.011197,           0.0030751,             0.88917,             0.40571,              0.6312,             0.25231,            0.044404,           0.0057601,           0.0017152,            0.009802,            0.009802,            0.009802
                   5,            0.052884,           0.0098439,           0.0025828,             0.45287,             0.53418,             0.52657,             0.20036,            0.050269,           0.0048969,           0.0014146,            0.009736,            0.009736,            0.009736
                   6,            0.049529,           0.0093453,           0.0018995,             0.66838,              0.5741,             0.65259,             0.27373,            0.040911,           0.0049212,            0.001262,             0.00967,             0.00967,             0.00967
                   7,            0.047432,           0.0084604,           0.0016848,             0.52339,             0.67402,             0.67715,             0.32188,            0.040166,           0.0044798,           0.0012343,            0.009604,            0.009604,            0.009604
                   8,            0.045863,           0.0081902,           0.0016759,             0.75051,             0.72606,             0.71597,             0.32674,            0.037059,           0.0044215,           0.0012661,            0.009538,            0.009538,            0.009538
                   9,            0.044139,           0.0079788,           0.0018808,             0.72396,             0.70162,             0.71067,             0.35824,            0.035367,           0.0042972,           0.0012412,            0.009472,            0.009472,            0.009472
                  10,             0.04312,           0.0075621,           0.0016627,             0.89051,             0.77034,             0.80616,             0.41072,             0.03635,           0.0041272,           0.0012156,            0.009406,            0.009406,            0.009406
                  11,            0.041793,           0.0077126,           0.0015128,             0.82975,             0.75139,             0.79562,             0.40331,            0.034544,           0.0039929,           0.0011023,             0.00934,             0.00934,             0.00934
                  12,            0.040917,           0.0076427,           0.0014225,             0.94416,             0.72606,             0.79037,              0.4128,            0.036002,           0.0038773,          0.00096426,            0.009274,            0.009274,            0.009274
                  13,            0.039756,           0.0073357,           0.0013859,             0.89352,             0.75534,             0.80291,             0.43968,            0.034017,           0.0038134,          0.00091674,            0.009208,            0.009208,            0.009208
                  14,            0.038556,           0.0072664,           0.0012989,             0.94978,             0.78207,             0.80412,             0.45922,            0.031087,           0.0037556,           0.0010748,            0.009142,            0.009142,            0.009142
                  15,            0.039158,           0.0072961,           0.0013522,             0.96728,             0.78203,             0.79777,             0.45178,            0.032314,           0.0036996,           0.0011273,            0.009076,            0.009076,            0.009076
